ID,Start_time,End_time,PointS_Longitude,PointS_Latitude,PointE_Longitude,PointE_Latitude,NodeS,NodeE
4768,1407107647,1407116829,104.112395,30.653362,104.014881,30.67383,85181,50262
4768,1407129402,1407129704,104.050621,30.677322,104.053488,30.668154,47333,7906
4768,1407134989,1407136114,104.09876,30.661067,104.061357,30.691685,102725,12726
4768,1407147867,1407149202,104.058153,30.668005,104.028029,30.693393,43780,14463
13118,1407104701,1407105198,104.063187,30.669112,104.021738,30.694478,47027,64615
13118,1407106976,1407107249,104.083562,30.677908,104.099089,30.681865,64024,1191
13118,1407110687,1407114059,104.056428,30.676554,104.070371,30.657973,52574,41021
13118,1407123079,1407123557,104.06386,30.647823,104.053477,30.661822,84365,67357
13118,1407138223,1407138537,104.038418,30.6631,104.032125,30.679654,5997,6068
13118,1407152365,1407152807,104.01603,30.688134,104.020461,30.676351,6550,14752
13118,1407156000,1407157224,104.029419,30.685971,104.082339,30.650336,80771,1768
7363,1407104903,1407105227,104.088328,30.654859,104.069504,30.645409,7564,22332
7363,1407115497,1407118120,104.044844,30.68161,104.02777,30.642441,47575,51967
7363,1407132598,1407135764,104.074702,30.660654,104.070436,30.687741,33380,45282
7363,1407147657,1407147836,104.038478,30.654718,104.030497,30.652645,13244,22814
7363,1407154808,1407158753,104.019607,30.648434,104.110857,30.651203,74740,51669
7363,1407163131,1407165262,104.041638,30.631398,104.027318,30.679773,4879,10374
4506,1407123873,1407124014,104.055258,30.640708,104.059378,30.638648,43215,52043
4506,1407129777,1407130545,104.058443,30.658617,104.083384,30.64086,86935,76995
4506,1407133127,1407134554,104.074562,30.623413,104.060461,30.688288,23712,62146
4506,1407144910,1407146234,104.042194,30.624758,104.076468,30.65571,63633,73632
4506,1407152293,1407153498,104.051828,30.680445,104.050479,30.630612,56888,39174
6415,1407117049,1407117397,104.062041,30.674653,104.062835,30.671334,17107,22735
12813,1407109375,1407110276,104.068257,30.671986,104.060044,30.647644,52733,43210
12813,1407114243,1407115325,104.063789,30.641271,104.039603,30.67334,68354,1055
12813,1407129244,1407130281,104.101185,30.643145,104.041408,30.635713,101686,4876
12813,1407138201,1407138672,104.017704,30.647309,104.036321,30.64686,2948,51900
12813,1407145189,1407146233,104.074154,30.644402,104.073552,30.671727,67100,67244
12813,1407150437,1407150778,104.040942,30.639377,104.028925,30.643651,7875,83938
