ID,Start_time,End_time,PointS_Longitude,PointS_Latitude,PointE_Longitude,PointE_Latitude,NodeS,NodeE
4768,1407539574,1407541775,104.101449,30.655599,104.044744,30.630697,68366,59881
4768,1407542936,1407543957,104.027448,30.650437,104.077987,30.657952,22826,90208
4768,1407547476,1407547835,104.079849,30.67206,104.075378,30.667586,12395,63969
4768,1407557215,1407559535,104.018016,30.691145,104.081925,30.684316,14147,87072
4768,1407567220,1407567747,104.048456,30.633103,104.064768,30.65887,39173,36533
4768,1407571283,1407571841,104.072841,30.690756,104.069932,30.682005,12893,13170
4768,1407574803,1407575128,104.106272,30.659718,104.109995,30.66943,62509,67282
4768,1407581248,1407581629,104.094489,30.674322,104.077708,30.676714,47173,67144
4768,1407587479,1407588103,104.091825,30.640011,104.074353,30.622208,64033,23560
13118,1407536590,1407536904,104.07869,30.695035,104.081935,30.684229,17357,7744
13118,1407546494,1407547932,104.027104,30.668199,104.100358,30.673047,1633,9934
13118,1407556700,1407557146,104.058729,30.673712,104.036209,30.686745,9560,14466
13118,1407574370,1407575027,104.060072,30.626543,104.073524,30.640383,166,26712
13118,1407582412,1407583120,104.04118,30.640013,104.049805,30.669564,49388,91709
13118,1407585707,1407586500,104.05989,30.672988,104.02507,30.691135,17109,42428
13118,1407591900,1407592564,104.074579,30.622508,104.087343,30.652229,52131,70199
13118,1407594258,1407594682,104.038334,30.678605,104.046267,30.655931,52956,13173
7363,1407545473,1407546676,104.074427,30.623824,104.05892,30.673526,23514,9560
7363,1407551235,1407551264,104.02736,30.665122,104.0263,30.66508,14717,1635
7363,1407568238,1407572000,104.052579,30.663376,104.021043,30.641728,28999,83939
7363,1407576954,1407577804,104.067291,30.697219,104.089225,30.669288,901,7732
4506,1407547430,1407548352,104.042655,30.625482,104.038171,30.665865,57578,53189
4506,1407554924,1407555870,104.064015,30.642889,104.080208,30.683955,67538,7743
4506,1407561955,1407565022,104.025439,30.63601,104.024873,30.635325,4029,4028
4506,1407568383,1407570168,104.068645,30.660469,104.053456,30.678619,52742,55801
4506,1407578825,1407584747,104.026923,30.636774,104.069185,30.63024,4033,39077
4506,1407595668,1407598803,104.039417,30.654151,104.052764,30.623702,13248,52794
4549,1407557743,1407558459,104.04729,30.646893,104.064146,30.627967,51927,10735
4549,1407563899,1407567496,104.096365,30.684105,104.047484,30.646985,18871,51926
6415,1407551534,1407552215,104.047707,30.674019,104.047,30.693793,13674,61090
6415,1407554579,1407559007,104.082075,30.686931,104.017534,30.668751,7742,38312
6415,1407564489,1407564825,104.054694,30.622835,104.030582,30.636056,52793,50535
6415,1407588501,1407589280,104.019008,30.676785,104.037592,30.69234,14752,43736
6415,1407592275,1407594124,104.066186,30.660839,104.052259,30.639678,40733,6953
6415,1407596915,1407597257,104.054987,30.627275,104.065555,30.627361,54469,21077
12813,1407535328,1407535672,104.091152,30.647958,104.066295,30.665502,1781,64668
12813,1407539921,1407540283,104.06613,30.660924,104.064035,30.65156,40732,49927
12813,1407550848,1407554142,104.079714,30.648202,104.072404,30.646816,10223,66672
12813,1407563711,1407563882,104.046944,30.6464,104.051996,30.642039,51926,6279
12813,1407573386,1407573956,104.078373,30.64696,104.055618,30.675343,4394,52574
12813,1407580549,1407581399,104.082803,30.651512,104.024426,30.650375,4206,83934
12813,1407589530,1407591383,104.103975,30.633585,104.076059,30.655018,62056,43590
12813,1407595226,1407595694,104.043255,30.683151,104.061782,30.659084,52962,8034
2831,1407542113,1407542388,104.051699,30.65162,104.052302,30.651873,83,87171
2831,1407545527,1407545840,104.071043,30.645865,104.073506,30.656048,66671,54584
2831,1407549485,1407550088,104.046358,30.645371,104.053722,30.666164,51927,7904
2831,1407563349,1407563872,104.076485,30.66608,104.09006,30.683912,55274,80116
2831,1407568326,1407568825,104.091451,30.662136,104.085639,30.667797,32799,52709
2831,1407576246,1407577066,104.074648,30.661234,104.106581,30.673302,63239,25835
2831,1407580262,1407581993,104.094802,30.625585,104.108266,30.662163,73192,64711
2831,1407587704,1407588051,104.087726,30.649284,104.095119,30.654821,1777,6607
2831,1407597928,1407598950,104.04775,30.647165,104.063916,30.696717,75958,10469
2902,1407554654,1407561391,104.093085,30.680206,104.06075,30.672546,42467,9559
2902,1407568435,1407569457,104.042085,30.688478,104.023933,30.680614,8115,21903
2902,1407577394,1407578495,104.072621,30.671727,104.05978,30.629266,67244,80002
2902,1407583859,1407584196,104.095144,30.655129,104.083795,30.638703,102555,67180
2902,1407586232,1407588964,104.040601,30.695416,104.030905,30.676908,11727,6065
2902,1407598327,1407598504,104.053785,30.666551,104.056826,30.674383,7904,26117
7553,1407579145,1407584382,104.111854,30.643835,104.049845,30.671464,71967,64016
7553,1407586653,1407587433,104.051197,30.663315,104.048204,30.647247,29002,7845
7553,1407593994,1407594344,104.019459,30.648062,104.030095,30.643949,74740,51961
7553,1407598583,1407599434,104.053964,30.65046,104.080347,30.668262,7789,52812
4421,1407559654,1407561333,104.049766,30.679156,104.051159,30.676568,56888,13671
4421,1407569476,1407569801,104.064618,30.63579,104.083404,30.640684,57844,43205
4421,1407577241,1407578661,104.043279,30.646209,104.074954,30.660519,51932,42159
4421,1407590701,1407591138,104.054353,30.687934,104.053578,30.676049,18164,13670
4421,1407597112,1407599821,104.072877,30.645388,104.071374,30.690507,26707,43632
2178,1407556964,1407558094,104.047591,30.647035,104.079641,30.683127,7845,7744
2178,1407561124,1407562948,104.02341,30.632133,104.018525,30.637581,7838,65469
2178,1407572220,1407575067,104.024845,30.635289,104.079294,30.628931,4028,87460
2178,1407594993,1407595391,104.074458,30.623826,104.076366,30.655717,23514,73632
2178,1407598397,1407599336,104.028331,30.639465,104.076231,30.655279,52645,73632
7512,1407585184,1407585783,104.092158,30.663448,104.07376,30.63212,32831,299
7512,1407593636,1407594509,104.06532,30.669517,104.041128,30.675797,6565,1057
12885,1407536561,1407536904,104.079379,30.683066,104.068017,30.665872,7744,52739
12885,1407571022,1407571949,104.061748,30.660429,104.020999,30.676095,8034,10233
12885,1407581171,1407582138,104.086939,30.658298,104.063365,30.651661,10160,68200
12885,1407585515,1407587242,104.078086,30.626285,104.023983,30.630361,94929,7840
12885,1407590047,1407590532,104.045865,30.621984,104.038927,30.639496,39162,4873
