DriverID,Start_time,NodeS
0, 2014/08/06 07:16:44,71968
1, 2014/08/06 06:07:38,14147
2, 2014/08/06 11:31:51,14147
3, 2014/08/06 08:30:32,81468
4, 2014/08/06 06:00:08,14715
5, 2014/08/06 06:00:02,62117
6, 2014/08/06 09:56:56,9077
8, 2014/08/06 06:00:07,7570
9, 2014/08/06 06:00:07,7627
10, 2014/08/06 06:00:04,58550
11, 2014/08/06 06:00:00,13718
12, 2014/08/06 08:50:15,28900
13, 2014/08/06 06:00:01,43790
14, 2014/08/06 11:16:44,97484
15, 2014/08/06 06:05:17,8087
16, 2014/08/06 09:35:55,9077
17, 2014/08/06 06:00:02,98928
18, 2014/08/06 08:31:41,8087
19, 2014/08/06 06:24:31,12216
20, 2014/08/06 06:00:00,38130
21, 2014/08/06 07:30:39,81468
22, 2014/08/06 06:01:51,14145
23, 2014/08/06 06:00:05,94094
24, 2014/08/06 07:16:10,98529
25, 2014/08/06 06:00:04,13244
26, 2014/08/06 07:42:34,9077
28, 2014/08/06 06:43:17,29028
29, 2014/08/06 06:00:09,80748
30, 2014/08/06 08:42:10,4295
31, 2014/08/06 06:00:03,43628
32, 2014/08/06 07:04:01,247
33, 2014/08/06 07:37:20,9077
34, 2014/08/06 10:24:40,185
35, 2014/08/06 06:30:30,14364
36, 2014/08/06 11:06:17,4291
37, 2014/08/06 06:00:06,49389
38, 2014/08/06 09:52:02,12207
39, 2014/08/06 07:45:07,12207
40, 2014/08/06 06:00:02,43701
41, 2014/08/06 06:00:05,43198
42, 2014/08/06 06:29:01,52784
43, 2014/08/06 06:00:05,1681
44, 2014/08/06 06:00:02,37297
45, 2014/08/06 06:14:20,74735
47, 2014/08/06 06:55:28,4957
48, 2014/08/06 06:52:16,55177
49, 2014/08/06 07:30:56,64730
50, 2014/08/06 06:00:10,1766
51, 2014/08/06 06:00:05,13728
52, 2014/08/06 06:00:07,43001
53, 2014/08/06 07:42:35,81469
54, 2014/08/06 06:00:09,6545
55, 2014/08/06 07:12:17,20133
56, 2014/08/06 07:05:04,9077
57, 2014/08/06 06:00:04,50792
58, 2014/08/06 06:07:13,83948
59, 2014/08/06 06:00:07,13736
60, 2014/08/06 09:49:40,9117
61, 2014/08/06 06:00:02,43969
62, 2014/08/06 06:00:08,56884
63, 2014/08/06 06:07:48,4291
64, 2014/08/06 10:42:07,43976
65, 2014/08/06 07:51:29,65504
66, 2014/08/06 06:00:07,12394
67, 2014/08/06 10:00:22,23514
68, 2014/08/06 06:00:06,7827
69, 2014/08/06 08:36:36,18840
70, 2014/08/06 08:00:24,52949
71, 2014/08/06 07:32:50,98529
72, 2014/08/06 06:09:48,50151
73, 2014/08/06 06:05:27,192
74, 2014/08/06 06:00:34,55196
75, 2014/08/06 07:01:28,3945
76, 2014/08/06 08:35:36,9228
77, 2014/08/06 07:58:06,4110
78, 2014/08/06 06:27:39,14147
79, 2014/08/06 06:35:06,16662
80, 2014/08/06 06:14:01,23711
81, 2014/08/06 06:00:07,29012
82, 2014/08/06 06:00:04,51690
83, 2014/08/06 07:34:05,248
84, 2014/08/06 07:54:18,55495
85, 2014/08/06 08:35:33,50151
86, 2014/08/06 06:00:07,1056
87, 2014/08/06 06:00:06,14356
88, 2014/08/06 06:19:21,55178
89, 2014/08/06 06:00:02,7765
90, 2014/08/06 06:00:02,9093
91, 2014/08/06 09:19:58,8075
92, 2014/08/06 07:31:23,29028
93, 2014/08/06 06:00:04,53245
94, 2014/08/06 06:00:10,3054
95, 2014/08/06 06:00:03,7563
96, 2014/08/06 06:00:10,7227
97, 2014/08/06 06:11:34,38431
98, 2014/08/06 06:34:25,23514
100, 2014/08/06 06:48:37,42254
101, 2014/08/06 06:00:09,59895
102, 2014/08/06 06:00:03,63685
103, 2014/08/06 06:00:06,52956
104, 2014/08/06 06:00:03,10466
105, 2014/08/06 06:00:02,49866
106, 2014/08/06 06:00:07,52704
107, 2014/08/06 06:06:54,74735
108, 2014/08/06 06:00:09,87665
109, 2014/08/06 07:43:59,52784
110, 2014/08/06 07:48:31,74738
111, 2014/08/06 19:18:51,89720
113, 2014/08/06 08:29:39,38312
115, 2014/08/06 07:22:13,23514
116, 2014/08/06 11:26:05,67781
117, 2014/08/06 06:00:08,67091
118, 2014/08/06 07:23:22,55177
119, 2014/08/06 07:13:26,98529
120, 2014/08/06 07:27:37,52618
121, 2014/08/06 06:00:09,21642
122, 2014/08/06 06:00:09,94443
123, 2014/08/06 07:23:14,23514
124, 2014/08/06 06:00:03,62510
125, 2014/08/06 06:00:08,4877
126, 2014/08/06 06:00:01,13382
127, 2014/08/06 06:00:01,71238
128, 2014/08/06 06:07:01,16516
129, 2014/08/06 08:53:44,83948
130, 2014/08/06 07:43:04,16662
131, 2014/08/06 06:00:03,10374
132, 2014/08/06 06:59:23,42961
133, 2014/08/06 07:32:55,8088
134, 2014/08/06 07:23:52,14711
135, 2014/08/06 07:12:56,14588
136, 2014/08/06 06:00:00,13228
137, 2014/08/06 09:46:42,52784
138, 2014/08/06 09:22:15,52784
139, 2014/08/06 06:05:16,901
140, 2014/08/06 06:00:06,52007
141, 2014/08/06 08:40:21,67786
142, 2014/08/06 08:58:18,14147
143, 2014/08/06 07:13:58,97484
144, 2014/08/06 08:38:41,67785
145, 2014/08/06 08:30:10,4291
146, 2014/08/06 06:19:17,29028
147, 2014/08/06 06:00:02,9093
148, 2014/08/06 06:37:47,13346
149, 2014/08/06 08:11:47,13346
150, 2014/08/06 07:40:40,14146
151, 2014/08/06 06:00:02,67091
152, 2014/08/06 06:45:07,52784
153, 2014/08/06 06:00:06,59895
154, 2014/08/06 06:00:08,53870
155, 2014/08/06 07:40:58,33087
156, 2014/08/06 06:00:06,10234
157, 2014/08/06 06:07:17,247
158, 2014/08/06 07:26:33,70343
159, 2014/08/06 07:21:56,98529
160, 2014/08/06 06:03:38,901
161, 2014/08/06 06:00:05,2798
162, 2014/08/06 06:00:01,22816
163, 2014/08/06 07:54:17,71118
164, 2014/08/06 06:50:32,21758
165, 2014/08/06 06:00:05,7571
166, 2014/08/06 06:00:02,7884
167, 2014/08/06 12:13:12,55177
168, 2014/08/06 06:00:05,6548
169, 2014/08/06 06:00:04,29012
170, 2014/08/06 06:00:04,55793
171, 2014/08/06 08:50:01,9116
172, 2014/08/06 06:00:02,80748
173, 2014/08/06 06:50:26,52784
174, 2014/08/06 06:00:01,17723
175, 2014/08/06 10:29:26,21758
176, 2014/08/06 06:00:08,7559
177, 2014/08/06 08:47:27,74735
178, 2014/08/06 09:32:57,23514
179, 2014/08/06 06:00:06,52580
180, 2014/08/06 06:01:41,68497
181, 2014/08/06 06:00:07,13105
182, 2014/08/06 06:13:42,14668
183, 2014/08/06 07:25:44,84894
184, 2014/08/06 07:54:37,9117
185, 2014/08/06 06:28:24,12212
186, 2014/08/06 06:00:07,64675
187, 2014/08/06 08:47:56,67784
188, 2014/08/06 07:33:53,50121
189, 2014/08/06 06:00:03,6557
190, 2014/08/06 07:21:19,97484
191, 2014/08/06 06:00:06,6574
192, 2014/08/06 06:00:05,64636
193, 2014/08/06 06:18:41,2948
194, 2014/08/06 06:00:06,1781
195, 2014/08/06 08:09:13,52784
