DriverID,Start_time,NodeS
0, 2014/08/04 07:14:04,85181
1, 2014/08/04 06:00:05,15976
2, 2014/08/04 08:04:05,74735
3, 2014/08/04 12:42:42,72251
4, 2014/08/04 06:00:00,14716
5, 2014/08/04 06:00:05,62117
6, 2014/08/04 10:32:18,9077
7, 2014/08/14 07:19:39,23712
8, 2014/08/04 06:00:01,44183
9, 2014/08/04 06:00:02,7628
10, 2014/08/04 06:00:05,55273
11, 2014/08/04 06:00:06,43970
12, 2014/08/04 11:24:58,18840
13, 2014/08/04 06:00:00,43790
14, 2014/08/04 10:54:22,55177
15, 2014/08/04 06:00:01,23517
16, 2014/08/04 09:28:50,80731
17, 2014/08/04 06:00:04,52705
18, 2014/08/04 08:42:00,13761
19, 2014/08/04 06:19:44,71118
20, 2014/08/04 06:00:02,38130
21, 2014/08/04 06:22:07,6942
22, 2014/08/04 06:00:10,7884
23, 2014/08/04 06:00:07,89923
24, 2014/08/04 08:27:46,70917
25, 2014/08/04 06:26:36,7842
26, 2014/08/04 08:17:04,9077
27, 2014/08/04 09:23:24,14145
28, 2014/08/04 07:59:03,52784
29, 2014/08/04 06:00:04,20695
30, 2014/08/04 08:16:08,14588
31, 2014/08/04 06:00:07,13466
32, 2014/08/04 07:19:35,6006
33, 2014/08/04 07:15:09,91209
34, 2014/08/04 10:44:50,10471
35, 2014/08/04 06:19:56,15738
36, 2014/08/04 06:00:08,47578
37, 2014/08/04 06:00:09,49389
38, 2014/08/04 10:04:15,63289
39, 2014/08/04 06:00:08,7675
40, 2014/08/04 06:00:09,13199
41, 2014/08/04 06:00:00,43198
42, 2014/08/04 06:46:59,52784
43, 2014/08/04 06:00:09,1681
44, 2014/08/04 06:00:04,23608
45, 2014/08/04 06:18:02,74735
46, 2014/08/04 07:23:56,81473
47, 2014/08/04 07:02:39,9077
48, 2014/08/04 08:17:51,52784
49, 2014/08/04 07:02:48,67255
50, 2014/08/04 07:13:43,4110
51, 2014/08/04 06:28:16,89459
52, 2014/08/04 06:00:08,101197
53, 2014/08/04 07:17:46,52784
54, 2014/08/04 06:00:02,7974
55, 2014/08/04 06:54:48,20133
56, 2014/08/04 07:10:14,4957
57, 2014/08/04 06:00:07,50794
58, 2014/08/04 06:54:23,42020
59, 2014/08/04 06:00:04,13736
60, 2014/08/04 06:15:22,89459
